Datetime,Imbalance Price,Imbalance Volume
1/1/2015 0:00,-49.41,-475
1/1/2015 0:15,-19.69,-181
1/1/2015 0:30,74.7,154
1/1/2015 0:45,62.28,137
1/1/2015 1:00,63.71,463
1/1/2015 1:15,79.32,502
1/1/2015 1:30,74.09,321
1/1/2015 1:45,72.77,95
1/1/2015 2:00,69.77,226
1/1/2015 2:15,115.22,27
1/1/2015 2:30,-17.84,-54
1/1/2015 2:45,-33.52,-164
1/1/2015 3:00,105.04,51
1/1/2015 3:15,-7.15,-20
1/1/2015 3:30,57.64,30
1/1/2015 3:45,-20.63,-157
1/1/2015 4:00,-68.55,-36
1/1/2015 4:15,-9.74,-176
1/1/2015 4:30,-29.91,-270
1/1/2015 4:45,-64.45,-415
1/1/2015 5:00,-27.1,-200
1/1/2015 5:15,-36.23,-261
1/1/2015 5:30,-42.39,-283
1/1/2015 5:45,-72.76,-233
1/1/2015 6:00,-57.72,-320
1/1/2015 6:15,-60.09,-276
1/1/2015 6:30,-68.7,-463
1/1/2015 6:45,-73.94,-607
1/1/2015 7:00,-355.87,-314
1/1/2015 7:15,-52.47,-209
1/1/2015 7:30,-57.94,-394
1/1/2015 7:45,-45.16,-288
1/1/2015 8:00,-54.64,-387
1/1/2015 8:15,-54.52,-374
1/1/2015 8:30,-54.79,-575
1/1/2015 8:45,-49.54,-599
1/1/2015 9:00,-74.31,-363
1/1/2015 9:15,-65.6,-493
1/1/2015 9:30,-52.75,-450
1/1/2015 9:45,-55.8,-461
1/1/2015 10:00,-85.89,-602
1/1/2015 10:15,-69.19,-645
1/1/2015 10:30,-68.51,-646
1/1/2015 10:45,-56.92,-637
1/1/2015 11:00,-78.01,-999
1/1/2015 11:15,-115.21,-1161
1/1/2015 11:30,-115.62,-1147
1/1/2015 11:45,-66.36,-572
1/1/2015 12:00,-34.74,-304
1/1/2015 12:15,-105.24,-198
1/1/2015 12:30,-30.18,-236
1/1/2015 12:45,-31.74,-155
1/1/2015 13:00,-47.27,-247
1/1/2015 13:15,-57.04,-457
1/1/2015 13:30,-51.23,-119
1/1/2015 13:45,-9.87,-77
1/1/2015 14:00,62.89,168
1/1/2015 14:15,47.34,368
1/1/2015 14:30,57.03,516
1/1/2015 14:45,43.1,592
1/1/2015 15:00,58.29,823
1/1/2015 15:15,70.69,706
1/1/2015 15:30,51.97,572
1/1/2015 15:45,75.22,286
1/1/2015 16:00,-80.16,-761
1/1/2015 16:15,-71.9,-643
1/1/2015 16:30,-62.2,-479
1/1/2015 16:45,-37.66,-209
1/1/2015 17:00,-64.99,-414
1/1/2015 17:15,-62.4,-167
1/1/2015 17:30,328.22,6
1/1/2015 17:45,-61.24,-331
1/1/2015 18:00,-53.15,-406
